epoch,Train_loss,Validation_loss,Train_f1_score,Train_auroc,Validation_f1_score,Validation_auroc
1,0.00260539329610765,0.0035444265231490135,0.5053377494214918,0.936583588161918,0.6902042460611888,0.9726046916279958
2,0.004449386615306139,0.0020875423215329647,0.6664604271107541,0.9740889699133454,0.5921008387612385,0.958493213094266
3,0.0008703160565346479,0.02076255902647972,0.7229257364957892,0.9847167409206773,0.6525892839103484,0.965541476237355
4,0.002392311580479145,0.008352435193955898,0.7797810228370319,0.9918661843297478,0.3628604226474262,0.9667785759298362
5,0.0035561395343393087,0.00048312655417248607,0.8029570416624107,0.9933061727704416,0.6612742669914933,0.971234617080957
6,0.001584304845891893,0.0005265353829599917,0.8196292406462654,0.9938916704365249,0.7154528751029744,0.9725842985810922
7,0.0021428088657557964,0.0004980297526344657,0.845635745374075,0.9962669965558466,0.7108306438379948,0.9712339548258506
8,0.001219584490172565,0.00031365419272333384,0.8421119598917615,0.9958378905978402,0.7204919853525272,0.9756974436489991
9,0.00034103001235052943,0.0001318675058428198,0.8619993622118881,0.994277843147089,0.7280529499216218,0.9721836470619297
10,0.0006789493490941823,0.0007311368826776743,0.8857486015386496,0.9963700676937446,0.7269879783485923,0.9643887130816453
11,0.0006500991294160485,0.002668570727109909,0.8927169612123127,0.997103634360303,0.7413422250480237,0.9714935279783519
12,0.000452844804385677,0.0002723892393987626,0.8900536716761673,0.99711728195875,0.7577129117117068,0.9693701322581376
13,0.0004467843973543495,0.00170522416010499,0.8952113952618549,0.9972223901770326,0.7542222645967517,0.9777451115399955
14,0.001046215882524848,0.00014870181621517986,0.9090268986502898,0.9973237783793054,0.7631652225241852,0.9734420769135332
15,0.0003222217201255262,0.0005603882600553334,0.9146640977648006,0.9970068212109431,0.7825760087883018,0.9749479157813112
16,0.0002867670264095068,0.0003205297398380935,0.915246009619157,0.9973477905104158,0.766400751794702,0.9705014489464087
17,0.0006143536884337664,0.1046934425830841,0.891312653096655,0.9970039013237537,0.7850954505532939,0.9771584750405268
18,0.0006252462626434863,5.2023697207914665e-05,0.9106705329902439,0.997205244297893,0.7621999826722117,0.9749300938819503
19,0.0003135455772280693,0.00010552066669333726,0.9127376923153664,0.9973716726959299,0.7776919635695407,0.967499714626608
20,0.00033459276892244816,0.0006826116587035358,0.9158925522868396,0.9973554682146301,0.7712758394705972,0.974654685915061
21,0.0006757442024536431,0.0027505187317728996,0.9141890457151265,0.997336695624133,0.7751715386897362,0.9720981685346991
22,9.670083090895787e-05,0.004127298016101122,0.928334017518912,0.9973836528853239,0.759364256090775,0.9644536082503016
23,0.00017089444736484438,0.006782482843846083,0.9256393220101229,0.9965693752466068,0.786304210722566,0.9740427700964915
24,0.000265959941316396,0.0007535979384556413,0.9274685994844759,0.9974112627100505,0.7548809241049661,0.9645304993592823
25,0.00013150721497368068,0.0002812665479723364,0.9302565645330515,0.9974138645842598,0.7875889217880274,0.9690983040755708
26,0.0003107131633441895,0.00027244456578046083,0.9282271098160247,0.9974063643349985,0.7956718212781844,0.9676717092658798
27,0.0006871339282952249,0.0009657377377152443,0.9385293229636658,0.9974186970583723,0.7890023413288959,0.9735907813805099
28,0.0002797266351990402,0.008975012227892876,0.9372512509490648,0.9974201258349049,0.7803054920825429,0.961914017287679
29,0.00031209844746626914,0.001596980495378375,0.9309304607146905,0.9949624882372852,0.797539360079396,0.9654173859772438
30,0.0002480252005625516,0.0019542239606380463,0.9342140641526308,0.9974276177553607,0.7945440843154766,0.977075920997796
31,0.00026021242956630886,0.0031631554011255503,0.9360167983213299,0.9974236701222031,0.7909407509759722,0.9696282675853433
32,0.00028436348657123744,0.0007225099834613502,0.9403121284210397,0.9974364887974096,0.7830860185078001,0.9612236251238598
33,0.00022664623975288123,0.009348327293992043,0.9396040502439295,0.9974388320943938,0.8073211129674348,0.9742323504431297
34,7.849851681385189e-05,0.033378321677446365,0.928527945836724,0.9974373482610112,0.7877526415734362,0.9682183404929877
35,0.0001804683415684849,0.0016447128728032112,0.9368680400921504,0.9974287625280946,0.7998056150659476,0.9553248355788552
36,0.0002617597347125411,4.4788925151806325e-05,0.9391779196328155,0.9974377706648985,0.761787983885318,0.9546467046316421
37,0.0011004990665242076,0.0054182689636945724,0.9400783402501376,0.994972836895174,0.7985134329582806,0.9725979560896938
38,0.0002499236725270748,0.0020323609933257103,0.9374300228536275,0.9974455797901817,0.7912987604270231,0.9623891916866576
39,0.00021767040016129613,0.0016666033770889044,0.9333131349321875,0.9949732118985724,0.8149877559142417,0.9705390297093605
40,0.00017358727927785367,0.0003260390367358923,0.9454115846961635,0.9974435899348837,0.7853052249119883,0.9716934576519215
41,0.00012172721471870318,0.009792359545826912,0.9442537975067117,0.9974438862487393,0.7973326898165923,0.9659559334727077
42,0.0002945779706351459,0.0008630063384771347,0.94708181543177,0.9974358871021876,0.8020042122216783,0.9707076935791499
43,0.00012941620661877096,3.5001514333998784e-05,0.9418845733255923,0.9949771365315964,0.7557969251610615,0.959526619280486
44,0.00012317691289354116,0.0007755850092507899,0.9449333708017147,0.99744676422198,0.785675890845442,0.9699886580883337
45,0.00013244192814454436,3.409446435398422e-05,0.9449610695948178,0.9974462006355816,0.7810932746170981,0.9641245785474886
46,0.00010327693598810583,0.000499594199936837,0.9400774399133328,0.9949770735802969,0.7871853361775689,0.9660595854019484
47,0.0002971039793919772,0.0009218842023983598,0.9399187641914885,0.9949729239589277,0.7572169657493067,0.9651941267166694
48,6.940574530744925e-05,0.0002044348802883178,0.932594568822866,0.9974387357356389,0.7897737177319549,0.9723653915459411
49,0.00027963664615526795,0.013601226732134819,0.9383012852824828,0.997444760592505,0.7650983907771938,0.961675281028268
50,0.00028831971576437354,3.939479211112484e-05,0.9490755556207828,0.9974503917006511,0.8106745352335106,0.974781132265035
51,0.0003201955696567893,0.0002327745023649186,0.9465913877239158,0.997448790160761,0.7957396585103386,0.9624242621224461
52,0.00028338810079731047,0.00017721799667924643,0.9476805594374305,0.9974517086806516,0.7990366781768766,0.9667871986991536
53,0.005924793425947428,0.0014831670559942722,0.5556262233226016,0.9790840244718245,0.27122512856919834,0.9335101430407914
54,0.004953470546752214,0.008060827851295471,0.2767165463682368,0.9788460037298025,0.5090794259772439,0.9481524154167205
55,0.0046634976752102375,0.0013301176950335503,0.5896314661986222,0.9826038159964482,0.5608211780767944,0.9684506459806825
56,0.003023265628144145,0.0014622813323512673,0.6557999855760137,0.9888738261542818,0.6230313359793797,0.9747864329024277
57,0.0009281511302106082,0.00046680084778927267,0.7139990157874527,0.9896611662529492,0.661018292469922,0.9738282609214532
58,0.000553275051061064,0.0011500271502882242,0.7400089890198578,0.990538557667522,0.640477996594359,0.9729166367250008
59,0.0008552402723580599,0.003440585918724537,0.7407630005786197,0.9925033402041323,0.5120601541393758,0.973982988161522
60,0.004886385519057512,0.00022768160852137953,0.7639640959673055,0.9947001373475964,0.5865924186769722,0.971095918937625
61,0.0008758614421822131,0.003013544250279665,0.7898698811534028,0.9915330196035254,0.47823788401529443,0.9771019027880999
62,0.0014227742794901133,0.000552904384676367,0.802085520101851,0.9903899273540997,0.6187703867012438,0.9706919815862921
63,0.0008401673985645175,0.00034584940294735134,0.790309442175283,0.9927808377636355,0.7252423203475161,0.9725401441546379
64,0.0026406424585729837,0.00044399232137948275,0.8075656760647799,0.9951223257686611,0.6667500008076354,0.9713705533177052
65,0.0019170793239027262,0.0014347750693559647,0.8189117439854524,0.994028484651516,0.7073904867146785,0.9738653130237431
66,0.00046476087300106883,0.0006850702920928597,0.8509379012819793,0.9966803450952415,0.7465366872486439,0.9765959916088459
67,0.00034463536576367915,0.004780879244208336,0.857339787106084,0.995320983321413,0.7113311831407012,0.9793995357619224
